trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
58bfda78c793187b,0879361214fdad9f,1,5,cross_market,0.01,3,32994,86.0843873332,"[36.43660031635419, 181.35871598071535, 32.56678254762354]",False
ae96523db83e9afa,0879361214fdad9f,1,5,cross_market,0.1,3,32994,86.084387308,"[36.43659981598504, 181.35871659837102, 32.566782297425796]",False
a4709911633b52f2,0879361214fdad9f,1,5,cross_market,1,3,32994,86.0843870555,"[36.43659481240283, 181.35872277381822, 32.56677979615219]",False
0f914a4f25981622,0879361214fdad9f,1,5,cross_market,10,3,32994,86.0843845186,"[36.43654478750641, 181.35878441758, 32.56675485356972]",False
6efe4a284b597121,0879361214fdad9f,1,5,cross_market,100,3,32994,86.0843579192,"[36.436045635009116, 181.35938999539079, 32.56651222198298]",False
659c965e823f0a65,0879361214fdad9f,1,5,cross_market,1000,3,32994,86.0839812597,"[36.43117288364143, 181.36454537507868, 32.56459579388651]",True
e7d3abf4efee6a5d,0879361214fdad9f,1,6,nq_only,0.01,3,32924,82.5828110383,"[181.54910992915933, 32.56886276406047, 24.888346165393955]",False
52b2e66bb17fb7fa,0879361214fdad9f,1,6,nq_only,0.1,3,32924,82.5828109507,"[181.5491097648628, 32.56886276178854, 24.888346074351993]",False
f515c6d24afd2526,0879361214fdad9f,1,6,nq_only,1,3,32924,82.5828100751,"[181.5491081220329, 32.56886273902827, 24.888345163993343]",False
f4b11780ada107cd,0879361214fdad9f,1,6,nq_only,10,3,32924,82.5828013238,"[181.54909170726881, 32.56886250734283, 24.88833606649724]",False
2655ddc0bda56dfb,0879361214fdad9f,1,6,nq_only,100,3,32924,82.5827143449,"[181.5489289069873, 32.56885978439741, 24.88824569746956]",False
e31a766b5a0b9381,0879361214fdad9f,1,6,nq_only,1000,3,32924,82.5818955763,"[181.5474297684863, 32.56879405119528, 24.887399638950722]",True
65a48293347fbc77,0879361214fdad9f,1,6,cross_market,0.01,3,32924,82.5301347642,"[181.35871598071535, 32.56678254762354, 24.935640435265462]",False
